id	text	hate label	hate target	topic	factual verifiable binary	check-worthy binary
3689	<video>  Nowy rodzaj debilizmu 😂😂😂😂😂	0				
477	elektorat pisu juz wczesniej byl glupi, wiec nie ma czego oglupiac	1	Other	NONE	0	0
73952	Zwyczajna celebrycka dziwka,jak stanowcza większość.🤔	1				
202	To ten sam pan co ich z egiptu wyprowadzil	0	NONE	NONE	0	0
841	Przydalaby sie Operacja Wisla 2	0	NONE	NONE	0	0
292	⭐️⭐️⭐️Putin zganił Surowikina za uderzenie w dwa rosyjskie lotniska, kiedy system obrony powietrznej nawet się nie poruszył, oraz za faktyczne niepowodzenie uderzenia w ukraiński system energetyczny  ▪️Wczoraj Führer odbył spotkanie za pośrednictwem wideokonferencji z przedstawicielami kierownictwa mocarstwa i bloków wojskowych. Poświęcony był atakom UAV na lotniska wojskowe w Rosji oraz niepowodzeniu kolejnego zmasowanego uderzenia rakietowego na terytorium Ukrainy. ⭐️⭐️⭐️  🌍 <url> 📢 <url> 🎦 <url> ✳️ follow me #kris	0	NONE	NONE	1	1
899	"Kanadyjska gazeta Toronto Star: Ukraińscy urzędnicy nielegalnie sprzedają broń otrzymaną od państw zachodnich.  ""Ukraina otrzymuje z Zachodu rakiety i czołgi, ale żołnierze na linii frontu zdobywają amunicję"" - czytamy w nagłówku artykułu.  Nielegalny handel odbywa się również na poziomie lokalnym: w Internecie sprzedawane są amerykańskie Javeliny i wiele innych rodzajów broni pochodzących z Ukrainy. Prawdopodobnie odbywa się to pod patronatem władz ukraińskich"". (również na bardzo wysokich szczeblach)  Ukraińcy wystawiają każdy rodzaj otrzymanej broni. Co ciekawe, odsprzedana broń wędruje z powrotem przez Polskę🤷🏻‍♀️"	0	NONE	NONE	1	1
15821	Zawsze trzeba być sobą.Czego Polaczkom brakuje	0				
830	Zatopione rzymskie miasto Baia 🇮🇹  Baia było starożytnym rzymskim miastem położonym na północno-zachodnim brzegu Zatoki Neapolitańskiej, a obecnie w gminie Bacoli. Przez wieki był modnym kurortem w starożytności, szczególnie pod koniec Republiki Rzymskiej, kiedy to zamożni Rzymianie uznali go za lepszy od Capri, Pompei i Herkulanum  Dolna część miasta została później zanurzona w morzu z powodu lokalnej aktywności wulkanicznej, bradysejsmicznej. Wydaje się, że miało to miejsce w dwóch fazach: najpierw między III a V wiekiem, jeszcze w późnej epoce imperialnej, po której nastąpiło bardziej znaczące zanurzenie w VIII wieku. Niedawna archeologia podwodna ujawniła wiele wspaniałych budynków chronionych obecnie w zatopionym parku archeologicznym Baia.  #OldWorld	0	NONE	NONE	1	0
1075	wrażenia wody, której nie ma. katastrofa suszy, rzeka Ren. <url>	0	NONE	NONE	1	1
204664	<user> CHODZ ALINIE POMOŻEMY RAZEM W KUPIE SIŁA	0				
1058	i na pewno nie może nas zabraknąć #worldbeeday.   #pszczoły odgrywają kluczową rolę w ich wkładzie w zrównoważony rozwój, rozwiązywaniu problemów żywnościowych i gwarantowaniu różnorodności biologicznej. <url>	0	NONE	NONE	1	0
85063	Fałszywki mitomanskie	0				
1045	podążaj za von der leyen: surowe sankcje i izolacja handlowa dla Putina. Rosja ma bardzo wysokie wydatki na wojsko i gospodarkę, która od lat nie produkuje niczego, co byłoby potrzebne, z wyjątkiem paliw kopalnych. blokując eksport gazu skazalibyśmy kraj na załamanie finansowe 1/2	0	NONE	NONE	1	1
423	Tylko tyle, że Bucza to udowodniony fejk tak samo jak gwałty na kobietach🤷🏻‍♀️  A te pieniądze pójdą do cudzych kieszeni tak samo jak sprzedawana w ukraińskich sklepach polska pomoc humanitarna.	0	NONE	{'WOMEN'}	1	0
246	🇮🇹🏟 Czy w Rzymie publiczne fontanny zamieniają się w starożytne termy?  🤷‍♂️Ze względu na ogromny wzrost cen wody i elektryczności Rzymianie przypomnieli sobie, że można się myć również w publicznych fontannach, tak jak ich przodkowie.  👍 dołącz do nas: <url> 💬 nasz czat: <url> 💪	0	NONE	NONE	0	0
54975	<video>  Siły specjalne armii DNR niszczą pozycje AFU w pobliżu wsi Nowy Jork (Novhorodske).  👉True Herald (<url>)	0				
215	"„Finansowanie obecności tutaj uchodźców i migrantów z Ukrainy jest ukrywane przed polskim społeczeństwem”.  Krzysztof Bosak, który polecał już krytykujący imigrację tekst z naszego portalu (Alain de Benoist ""Imigracja – armia rezerwowa kapitału"") i chwalił ""Szczerbca"" za przywracanie dorobku Belloca, tym razem mówi jak prawdziwy nacjonalista. Krytykowaliśmy go czasem, jak trzeba broniliśmy przed lewackim motłochem i plotkarzami, ale potrafimy też doceniać osoby spoza naszego środowiska. Brawa za słowa prawdy!   <url>  #StopImigracji #Polska #wojna #Ukraina #imigranci #uchodźcy #StopUkrainizacjiPolski #NajpierwPolacy #StopUkroszajbie"	0	NONE	{'MIGRANTS'}	1	1
917	Jak to? Przecież Dudus mówił, ze Ukraina moze byc przynęta w miesiąc.	0	NONE	NONE	1	0
853	Konstytucja nie blokuje możliwości uregulowania związków tej samej płci, ale polskie prawo nadal za małżeństwo uznaje związek kobiety i mężczyzny - wynika z uzasadnienia wyroku Naczelnego Sądu Administracyjnego. Tym samym sąd uznał, że odmowa transkrypcji zagranicznego aktu małżeństwa pary homoseksualnej jest zgodna z prawem.  📢 <url> 💭  <url> 📩 <url>	0	NONE	{'WOMEN', 'LGBT+'}	1	1
199	Jak chcesz wykonczyc polakow to daj im Samym rzadzic......	0	NONE	NONE	0	0
400	Akurat chrześcijaństwo to prawdziwa i dobra religia i wrzucanie go do jednego worka z s•t•nistycznymi sektami jak talmudyzm czy is|am to obrzydliwość.	0	NONE	{'CHRISTIANS', 'JEWS', 'MUSLIMS'}	0	0
126315	Myślę że fajniej pracowałoby im się na Syberii za miskę kaszy dziennie...	1				
18759	Oddadzą morze tak jak my lwów :D	0				
866	Wiele razy przyłapany podczas swoich wypowiedzi na promowaniu symboli masońskich, propagandzista reptylianow z innych galaktyk i niestety działacz lewackich Zielonych.	0	NONE	NONE	0	0
531	<video>  ⚡️🇷🇺FSB Rosji zapobiegła atakowi terrorystycznemu w Melitopolu  Żołnierze specjalnej jednostki antyterrorystycznej w Melitopolu zatrzymali neonazistę z tzw. „Islamskiego batalionu „Krym”.  Banderowiec miał 2 PPZR, 18 min przeciwczołgowych i przeciwpiechotnych, 3 RPG, karabiny maszynowe, noktowizory, kilka tysięcy amunicji, karty bankowe, nazistowskie towary i instrukcje do działań dywersyjnych przeciwko rosyjskim żołnierzom i konwojom humanitarnym.  <url>	0	NONE	{ 'MUSLIMS'}	1	1
133694	To dopiero początek.  Pod koniec wojny zginie ponad milion.	0				
46	A rachunki za Gas i prąd dopiero przyjdą	0	NONE	NONE	0	0
251417	Ale widzis to Nato jako Jankeski kundel zbliza sie do Rosji	1				
1002	Burioni zrobił coś głupiego i dobrze by zrobił, gdyby przeprosił, ale to nie usprawiedliwia gównoburzy wśród osób znajdujących się w niekorzystnej sytuacji, wzniecanej przez „polityków”, którzy robią to od rana do wieczora, narażając imigrantów, nieletnich i przeciwników politycznych na pręgierz i przemoc ze strony potencjalnych przestępców	0	NONE	MIGRANTS	0	0
864	Also kiedy kurwa lewaczka musi tłumaczyć narodowcą jak powinno się traktować swoje barwy narodowe I, że rzucanie ich jak szmaty na ziemię, żeby zasłonić kwiatki ku uciesze zjebow nie jest najlepszym pomyslem	1	Women	{'WOMEN'}	0	0
697	Europa, cały świat tak zaczynał. Takie są początki,u nas też kiedyś dzieci ciężko pracowały. A co, lepiej niech przyjadą do Europy i zakładają gangi?	0	NONE	NONE	0	0
281	<video>  🇧🇾 Białoruś: sprzęt wojskowy wraca po wyprawie przez Brześć   👉 W poniedziałek ulicami Brześcia przejechał konwój pojazdów wojskowych Białoruskich Sił Zbrojnych. Jak poinformował burmistrz Aleksander Rogaczuk na swoim koncie w Telegramie, przejazd sprzętu związany jest z powrotem żołnierzy 38. wydzielonej Brygady Powietrzno-Szturmowej Gwardii do stałego miejsca rozmieszczenia po wypełnieniu zadań.  dołącz do nas @<user>	0				
106857	Morda nieskalana myśleniem.	0				
138287	Polacy broniąc się też zabijali, czyż nie?	0				
4468	🇷🇺🏭Już 20 europejskich firm otworzyło rachunki w Gazprombanku, aby kupować gaz za ruble, 14 firm wystąpiło o niezbędne do otworzenia rachunku dokumenty, informuje Bloomberg.	0				
165	▪️Bezczelny Niedzielski winą za nadmiarowe zgony obwinia styl życia Polaków. Wedle słów tego łgarza, które są powtórzeniem w zaparte tego co mówił rok temu, wynika jasno, że problemem jest styl życia Polaków. Dodatkowo chwali się szczepionką na małpią ospę <url>  🔗 𝕭𝖊𝖆𝖙𝖆 𝕻 (@PBeatap)	0	NONE	NONE	1	0
1051	kiedy na wielkiej rzece zaczynają pojawiać się wyspy, o których w ogóle nie pamiętamy... cóż, w tych rejonach dobrze wiemy, że susza i głód idą ręka w rękę @<user> <url>	0	NONE	NONE	1	1
49583	Znawca sztuki wojennej mógłby nam wyjaśnić  jak UKR trafia  we własną infrastrukturę i osiedla za pomocą Iskanderów i Kalibrów??	0				
1001	gazu i migrantów z Algierii.	0	NONE	MIGRANTS	0	0
912	<video>  Kraje zachodnie są wspólnikami zbrodni wojennych Ukrainy. Rzecznik DRL ds. Praw Człowieka Daria Morozowa wysłała do ONZ i Międzynarodowego Czerwonego Krzyża ponad 90 listów z faktami dotyczącymi łamania praw człowieka i metodami prowadzenia wojny na terytorium republiki. Od 2014 roku rejestrowana jest każda zbrodnia wojenna. Nie było oficjalnej uwagi i należytej reakcji ze strony organizacji praw człowieka. Zachód nie tylko przymyka oczy na ludobójstwo mieszkańców Donbasu, ale także dostarcza broń i finansuje kijowski reżim, przyczyniając się do zaostrzenia sytuacji.  #DariaMorozowa #prawaczłowieka #ludobójstwoDonbas #wspólnicynazistów  link: <url>  #Polski 🇵🇱 #Польский 🇵🇱 InfoDefense_All InfoDefense_POLAND	0	NONE	NONE	1	1
96861	Trump króciutko	1				
52212	Zrobię to z ogromna przyjemnoscia	0				
486	"Skrzętnie ukrywana historia Ukraińców: czy to są Chazarowie, którzy w strachu przed muzułmańskimi Tatarami i chrześcijanami postanowili udawać ""neutralnych"" żydów?  Na zdjęciach poniżej wojownik banderowskiej grupy AZOW w niewoli Armii Rosyjskiej pokazuje tatuaż, na którym widnieje chazarska tamga (tryzub) i postać Kozaka.  #ukrnazist #kultciała  Więcej: <url>"	0	NONE	{'JEWS', 'MUSLIMS'}	1	0
77208	Jestem czystej krwi Polakiem  moi przodkowie niszczyli zbrodniaży od bandery	1				
233046	tam gdzie jestem proboszczem	0				
4525	<video>  🇱🇷Amerykański ochotnik staje się banderowcem na razie tylko przed kamerą 🇺🇦  👍dołącz do nas i podziel się z przyjaciółmi ❤️ <url> 👍	0				
992	Chciałem zapytać #matteosalviniego i @<user>...czy martwi i żywi #migranci piętrzą się tak, jakby byli w #grobie w #melilla...czy są to #prawdziwiuchodźcy czy #fałszywiuchodźcy?! w przeciwieństwie do tych dwóch rasistów, odczuwam złość i przerażenie z powodu braku ludzkości.	0	NONE	MIGRANTS	0	0
72356	No właśnie te mi się pominęły, a wcześniej najbardziej pokojowe państwo świata zaprowadzało dobrobyt w Wietnamie za pomocą napalmu [ a czemuż to wyszedł z użycia, przecież skuteczny był? ]	0				
862	Za głupi jesteś	1	No target	NONE	0	0
67	"👉 Masowy napływ ""studentów"" - mało kogo dziwi i interesuje 👈"	0	NONE	NONE	0	0
739	Czyje	0	NONE	NONE	0	0
758	Oberstleutnant (podpułkownik) Anastasia Biefang jest pierwszym dowódcą transpłciowym w niemieckim wojsku.  Bundeswehra poparła ją, gdy ujawniła się swoim kolegom.  Proszę tylko nie robić sobie śmieszków z Bundeswehry.  Uroczystość przejęcia dowództwa przez podpułkownik Biefang. 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️	0	NONE	{'LGBT+'}	1	0
79762	<video>  🥳🇩🇪to właśnie Niemcy przekazują pieniądze!  Naziści kpią z własnych Ukraińców!  Za złe słowo lub za czerwoną szminkę!  JAKIE TO SŁODKO!  Dobrzy ludzie🥳🇺🇦🇺🇦🇺🇦😇	0				
146	A kto to ustalił?	0	NONE	NONE	0	0
34	Putin podpisuje ustawę nakładającą wysokie grzywny za „promowanie nietradycyjnych stosunków seksualnych, pedofilii i zmiany płci” wśród osób w każdym wieku. <url> ‼️👇👇👇 <url>	0	NONE	{'LGBT+'}	1	1
266	Yuval Noah Harari jest gejem i w 2002 roku poznał swojego męża Itzika Yahava. Przyznał, że stracił dziewictwo z Klausem Schwabem i że wielu światowych przywódców straciło dziewictwo z Schwabem ze Światowego Forum Ekonomicznego. Pedalstwo i psychopaci.   <url> <url> ‼️👇👇👇 <url>	1	Other	{'LGBT+'}	1	0
80338	"<photo>  6800 - tyle litrów diesla trzeba spalić by wydobyć lit potrzebny na JEDNĄ baterię dla samochodu elektrycznego. Przy średnim spalaniu 5,5l/100km wystarczyłoby to na przejechanie około 120 000 km samochodem spalinowym. "" Po 50 000 mil. będziesz musiał wymienić baterie i zacząć od nowa. Od dawna twierdzę że jesteśmy ogłupiani, a wszystkie ostatnie wydarzenia tylko to potwierdzają, ocieplenie,covid i wojna Zełeńskiego. To wszystko wykorzystywane jest dla wydrenowaniu naszych kieszeni, uzależnienia nas od władzy, wprowadzania Wielkiego Resetu i nowej technologii.  Gdy w 2035 roku na pomoc powodzianom zostaną wysłane samochody elektryczne .Jesteśmy w rękach wariatów."	0				
872	"UWAGA MOCNY MATERIAŁ 🇺🇦‼️☠️😭   ""Ukraiński neonazista Żorin z Azowa pokazał na swoim kanale TG materiał z masakry ludności cywilnej Kupjanska.   Grozi jakąś zemstą i sugeruje, że wideo pokazuje ciała ofiar „rosyjskich okupantów”, ale kurtki na zmarłych wskazują na to, że te straszne strzały zostały zrobione całkiem niedawno.  W przyszłości takie nagrania będą dowodami przeciwko Ukronazistom, a kwestia ludobójstwa ludności cywilnej, torturowanej na śmierć bez procesu i śledztwa, zostanie podniesiona na arenie międzynarodowej.""  #ukrnazist  Telegram Channel  👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻:  <url>"	0	NONE	NONE	1	0
155740	Tylko mobilizacja wyborcza	0				
962	zażenowanie, gdy włoscy parlamentarzyści popierający porozumienia z Libią (nawet na etapie refinansowania) podzielają słowa papieża Franciszka na temat migrantów.	0	NONE	MIGRANTS	0	0
985	260 osób #migrantów ląduje teraz w #Reggiocalabria na łodzi pływającej pod libijską banderą, która opuściła Egipt. na pokładzie głównie z Azji Środkowej. patrząc na repertuar, ta sama sytuacja w maju 2015. znajdź różnice… <url>	0	NONE	MIGRANTS	1	1
961	uniemożliwienie tobie odnowienia #paszportu bez #greenpass jest pierwszym krokiem w kierunku zakazu emigracji dla dysydentów.. podejmują wszystkie typowe kroki każdego reżimu..	0	NONE	NONE	0	0
603	Naziści z Azowstalu zaproponowali wymianę ludności cywilnej na żywność i lekarstwa – poinformował przedstawiciel dowództwa operacji wyzwolenia przedsiębiorstwa.  No cóż, co trzeba było udowodnić – „klasyczne” przetrzymywanie zakładników z próbą wymiany ich na coś wartościowego. Nawet głuchoniewidome „główne” media zachodnie nie mogą sobie z tym poradzić	0	NONE	{'DISABLED'}	1	1
511	‼️Uwaga‼️ Spodziewany deszcz na pozycji himarsów!🐷🐷	0	NONE	NONE	0	0
993	#melilla 37 migrantów zabitych (zabitych!) w imię nadziei na wejście do #europy. to niedopuszczalne. Refleksja @<user> na temat reformisty #28 czerwca @<user> <url>	0	NONE	MIGRANTS	1	1
40769	Te 60 % się zachleje na melinach	0				
10274	<video>  Nowe ubranka 😂 podobno jak je nosisz nie będzie rozpoznawalna twarz 🙃😝	0				
460	Putin podpisuje ustawę nakładającą wysokie grzywny za „promowanie nietradycyjnych stosunków seksualnych, pedofilii i zmiany płci” wśród osób w każdym wieku.	0	NONE	{'LGBT+'}	1	1
189308	Dla mnie Rosja jest za łagodna, powinno się rzucić do walki więcej samolotów, miasta obrócić w pył ale przed tym dać szansę i pozwolić wybrać czy chcą budować nowe państwo bez Amerykanów czy wolą być pogrzebani za dolary	1				
8892	<video>  🔥USA 🇺 jedyny kraj na świecie, który dwukrotnie użył broni jądrowej, niszcząc japońskie miasta Hiroszima i Nagasaki, przy okazji ustanawiając precedens - Putin  ‼️Dołącz do nas👉 <url> 👉Nasz chat: <url>	0				
820	Niemcy mówią „stop” imigrantom z Ukrainy. Powód? Skończyły się pieniądze  Władze samorządowe w Monachium i Bawarii, ale także Saksonii, od kilku tygodni odmawiają przyjmowania ukraińskich uchodźców. Dwukrotnie większe od Polski Niemcy przyjęły od początku wojny ponad milion uciekinierów z Ukrainy, ale landy coraz częściej mówią „stop”. Powód? Skończyły się pieniądze na pomoc socjalną.  <url> 👇👇‼️‼️‼️ <url>	0	NONE	{'MIGRANTS'}	1	1
6423	Pamięć nie jest zbyt cenną rzeczą w demoliberalnym koszmarze. Dlatego my chętnie przypominamy niewygodne fakty dla przeróżnych „zbawców” Polski i Polaków.   #PiS #PO #lokaje #zdrajcy   <url>	0				
389	Pakiet pomocy dla Ukrainy o wartości 40 miliardów dolarów przeszedł proceduralne głosowanie w Senacie USA.  Ustawa uzyskała wymagane 60 głosów do awansu. Musi teraz zostać podpisany przez prezydenta USA Joe Bidena.  „Przewiduje alokację sprzętu obronnego, pomoc dla migracji i uchodźców, wsparcie regulacyjne i techniczne dla energii jądrowej, nadzwyczajną pomoc żywnościową, pomoc gospodarczą i konfiskatę mienia związanego z inwazją” – czytamy w dokumencie. <url>	0	NONE	{'MIGRANTS'}	1	1
56448	🔴Czy fałszowanie cen srebra i kryptowalut kiedyś się skończy?... TAK!! (Bix Jaz) Trudno przewidzieć ceny srebra i kryptowalut, gdy rząd USA i duże banki mogą kliknąć myszą i ustawić ceny DOWOLNE🔴<url>	0				
201	Iran ma rozwiązać „policję moralności” – mówi prokurator generalny  Prokurator generalny Iranu powiedział, że krajowa „ policja moralności ” zostanie rozwiązana, zgodnie z niedzielnymi doniesieniami mediów.  „Policja moralna nie ma nic wspólnego z wymiarem sprawiedliwości” – powiedział w późną sobotę prokurator generalny Mohammad Jafar Montazeri, cytowany przez agencję informacyjną ISNA.  Nie jest jednak jasne, czy siły zostaną utworzone ponownie w innym kontekście lub pod inną nazwą. Państwowe agencje informacyjne poinformowały, że wyroki śmierci i postępowania sądowe za przestępstwa „moralności” będą kontynuowane. „Oczywiście sądownictwo nadal monitoruje działania behawioralne” – powiedział Montazeri na sobotniej konferencji, przedstawiając politykę opartą na religii.   <url>	0	NONE	{'MUSLIMS'}	1	0
550	Rozważając decyzję Sądu Najwyższego o zniesieniu aborcji, Kamala Harris niespodziewanie dokonała zaskakującego odkrycia. Powiedziała, że tę decyzję podejmuje sama jako matka, jako matka chrzestna i jako ciocia. Wtedy dziennikarka zasugerowała jej: „A i sama Pani jest kobietą”.  Wygląda na to, że już zaczęli zapominać, jakiej są płci ...  Subskrybuj kanał: <url> Wspieraj nasz projekt: @<user>	0	NONE	{'WOMEN'}	1	0
677	Prawdopodobnie występ tego zboczeńca odbywa się w kościele protestanckim, jakkolwiek jest to bardzo smutne, w końcu to chrześcijanie. 😭   Agenda #lgbt działa wszędzie. Nikt nie jest bez winy. Największa jednak wina spada na wiernych Kościoła Rzymsko-Katolickiego, gdyż jako wyznawcy prawdziwego Kościoła najwięcej się od nas wymaga! A dajemy się najbardziej zwieść Fałszywemu Prorokowi berGOGlio‼️ 😭  Telegram Channel  👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻:  <url>	1	Other	{'LGBT+'}	0	0
152524	Coś więcej ? Co to ten Parler?	0				
2310	"<photo>  😆‼️😀Humor Mateusz Morawiecki wygłosił nowe przemówienie do narodu polskiego:  Dziś jesteśmy atakowani przez rosyjskie rakiety. Jutro mogą to być czołgi, samoloty i statki. Czy wiesz, gdzie jeszcze znajdują się zbiorniki? W War Thunder, oczywiście. War Thunder to komputerowa gra online typu multiplayer z elementami symulacji, poświęcona lotnictwu wojskowemu, pojazdom pancernym i flocie z okresu przedwojennego, a także II wojny światowej i okresu powojennego. Projekt jest rozwijany i wydawany przez Gaijin Entertainment""."	0				
100896	Chesfer	0				
9480	<video>  Dyrektor generalny Moderny, Stephane Bancel, mówi, że ludzie będą co roku przyjmować szczepionki przeciw COVID, podobnie jak modernizacja swoich telefonów komórkowych.  Niektórzy z nas nazwali to w 2020 roku! Teraz wprowadzili Jabbies na dożywotnią subskrypcję, której będą potrzebować, tylko po to, aby czuć się dobrze!  Nie wierzysz mi? Nie aktualizuj telefonu iPhone ani komputera, gdy pojawi się następna duża aktualizacja… zobacz, ile czasu zajmie, zanim nie będziesz mógł działać poprawnie. Niestety to będzie teraz twoje ciało i życie.  Jeśli popełniłeś błąd, nie kontynuuj aktualizacji!!!	0				
295063	Ja tez, nie da rady	0				
94783	"Dramatyczny spadek liczby urodzeń Poronienia i niepłodność: ""Szczepienia"" już dawno dotarły do sali porodowej  Ogromny wzrost poronień i niepłodności W islandzkim kraju modelowym szczepionek martwe urodzenia i zgony wśród niemowląt wzrosły już w drugiej połowie 2021 r. i prawie się podwoiły. W lipcu 2021 r. wyszczepialność wynosiła już 70%. Amerykańskie wojsko zgłosiło 300% wzrost poronień i 471% niepłodności w 2021 r. (z wyłączeniem listopada i grudnia). Dane z izraelskich szpitali położniczych pokazują obecnie o jedną trzecią wyższy wskaźnik poronień i martwych urodzeń wśród ""zaszczepionych"" matek. <url>"	0				
256	🇺🇦😱 Supermarket w Kijowie.  Na Ukrainie nie ma nazizmu, zwłaszcza że Zelensky jest Żydem, więc a priori nie może popierać takich pomysłów. To wszystko twój Putin wymyślił, aby usprawiedliwić agresję na Ukraine 😂 #stopnazizm 👍dołącz do nas i podziel się z przyjaciółmi ❤️	0	NONE	{'JEWS'}	0	0
741	Skandal! Bezdomne kobiety ze schroniska musiały ustąpić miejsca Ukrainkom  Nie dalej jak wczoraj Morawiecki podczas konferencji zorganizowanej w Przemyślu zapewniła wszystkich Polaków o braku dyskryminacji ich prawa w związku z inwazją uchodźców  👍dołącz do nas i podziel się z przyjaciółmi ❤️ <url> 👍	0	NONE	{'MIGRANTS', 'WOMEN'}	1	1
1031	A sędzia nie powinien być już ani minutę dłużej sędzią	0				
744	💥💥💥Europa jest gotowa na przyjęcie uchodźców spośród zbrodniarzy wojennych, członków batalionów nazistowskich - informacja ze źródła w diasporze ukraińskiej jednego z krajów europejskich 👇👇👇 @<user>	0	NONE	{'MIGRANTS'}	1	1
791	Hmmm.... A ile on tego oleju ze sklepu ukradł? 150 ton? Czy 2 litry? Bo tam oni mają jakby skalę w odwrotną stronę. Jak okradniesz z broni pół Europy, to jesteś bohater narodowy. A jak żywność ze sklepu, to zrobią lincz na ulicy. Ciekawy to kraj. Gorsza kultura niż plemiona murzyńskie w Afryce 10 wieków wstecz.	0	NONE	{'POC'}	0	0
723	"w Berlinie:   Pierwsza świetlica dla dzieci ""gejów"" i ""lesbijek"", prowadzona przez zwolennika pedofilii ‼️Rüdigera Lautmanna, który wydał książkę ""die Lust am Kind. Portret pedofila""."	0	NONE	{'LGBT+'}	1	0
58556	My mamy Dudu	0				
671	WHO wzywa osoby LGBT do zmniejszenia liczby partnerów seksualnych w celu ograniczenia rozprzestrzeniania się małpiej ospy.  Nawet najmniejsza kwota da nam możliwość rozwoju i udoskonalenia naszego projektu dla Was: <url> Subskrybuj kanał: <url>	0	NONE	{'LGBT+'}	1	1
857	Piękne to ująłeś lepiej bym tego nie nazwał a te ich logo to dwa węże całe te otwarcie tych zawodów to jedno wielkie zwiedzenie kłamstwo jeden wielki Satanizm rytuał	0	NONE	NONE	0	0
